name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count
금강주유소 화장실,경기 시흥시 과림동 440-33,0,0,:~:,37.44086111,126.8330033,0,0
시흥3동주민센터 개방화장실,서울 금천구 시흥동 956-3,0,0,:~:,37.44025677,126.9057854,0,0
대득에너지 금천셀프주유소 개방화장실,서울 금천구 시흥동 983-1,0,0,:~:,37.44119141,126.902801,0,0
박미사랑마을회관 개방화장실,서울 금천구 시흥동 957-10,0,0,:~:,37.44054283,126.9074801,0,0
관문체육공원 화장실,경기 과천시 관문동 3,0,0,:~:,37.44048884,126.995367,0,0
성남정병원 개방화장실,경기 성남시 수정구 수진동 2968,0,0,:~:,37.43985811,127.1289997,0,0
곽여성병원 개방화장실,경기 성남시 수정구 태평동 6450,0,0,:~:,37.44077734,127.1304612,0,0
SR프라자 개방화장실,경기 성남시 수정구 수진동 56,0,0,:~:,37.44072854,127.1322194,0,0
SK에너지 시흥주유소 화장실,경기 시흥시 신천동 712-11,0,0,:~:,37.44152699,126.7835795,0,0
교보생명 개방화장실,경기 성남시 수정구 신흥동 5542,0,0,:~:,37.44206413,127.1367193,0,0
스케쳐스 화장실,경기 시흥시 신천동 747,0,0,:~:,37.44149123,126.779828,0,0
태평물놀이장 화장실,경기 성남시 수정구 태평동 7003-20,0,0,:~:,37.44209414,127.1189689,0,0
이동식화장실임대,경기 시흥시 신천동 705-1,0,0,:~:,37.44316252,126.7831906,0,0
신천제일주유소 화장실,경기 시흥시 신천동 586-6,0,0,:~:,37.44297215,126.7739158,0,0
은계호수공원 공용화장실,경기 시흥시 은행동 0,0,0,:~:,37.44393182,126.8059024,0,0
시흥계곡 개방화장실,서울 금천구 시흥동 산 73-5,0,0,:~:,37.44355249,126.9163111,0,0
한신프라자오피스텔 개방화장실,경기 성남시 수정구 신흥동 2463-4,0,0,:~:,37.44374192,127.1528142,0,0
시흥유통종합상가 개방화장실,서울 금천구 시흥동 984,0,0,:~:,37.44468229,126.9010517,0,0
단대전통시장 개방화장실,경기 성남시 중원구 금광동 10,0,0,:~:,37.4448127,127.1580147,0,0
대야동주유소 화장실,경기 시흥시 대야동 362-9,0,0,:~:,37.44527325,126.7904938,0,0
GS칼텍스 일신주유소 개방화장실,서울 금천구 시흥동 939-4,0,0,:~:,37.4444759,126.9042659,0,0
문화주유소 개방화장실,서울 금천구 시흥동 984-2,0,0,:~:,37.4453005,126.9033788,0,0
금천구시설공단 개방화장실,서울 금천구 시흥동 985-26,0,0,:~:,37.44588375,126.9026322,0,0
제중빌딩 개방화장실,경기 성남시 수정구 신흥동 3436-11,0,0,:~:,37.44416845,127.1431825,0,0
이마트성남점 개방화장실,경기 성남시 수정구 태평동 7336,0,0,:~:,37.44402097,127.1414476,0,0
황송공원 화장실,경기 성남시 중원구 금광동 2449-1,0,0,:~:,37.44497447,127.1737184,0,0
대광주유소 화장실,경기 시흥시 과림동 305-1,0,0,:~:,37.44674855,126.8318782,0,0
제4야영장A 개방화장실,서울 관악구 신림동 산 56-2,0,0,:~:,37.44671245,126.947853,0,0
제4야영장B 개방화장실,서울 관악구 신림동 산 56-2,0,0,:~:,37.446615,126.9475276,0,0
일오삼플레이스 개방화장실,서울 금천구 시흥동 904-22,0,0,:~:,37.44890085,126.9032431,0,0
삼막정 개방화장실,서울 관악구 신림동 산 56-2,0,0,:~:,37.44750296,126.9465551,0,0
제1야영장 개방화장실,서울 관악구 신림동 산 56-2,0,0,:~:,37.44748242,126.9449887,0,0
계수한식부페 화장실,경기 시흥시 계수동 487-6,0,0,:~:,37.44864895,126.8066542,0,0
시흥5동주민센터 개방화장실,서울 금천구 시흥동 910-5,0,0,:~:,37.45073577,126.90834,0,0
백산주유소 개방화장실,서울 금천구 시흥동 904,0,0,:~:,37.44971869,126.902912,0,0
에벤에셀프라자 개방화장실,서울 금천구 시흥동 912-20,0,0,:~:,37.45043388,126.9094434,0,0
범일운수 개방화장실,서울 금천구 시흥동 271-51,0,0,:~:,37.44986617,126.9117315,0,0
금천청소년수련관 1층 개방화장실,서울 금천구 시흥동 산 84-7,0,0,:~:,37.44819318,126.9156979,0,0
새마을금고 옆 개방화장실,서울 금천구 시흥동 1011,0,0,:~:,37.44986695,126.9127836,0,0
벽산1단지 상가 개방화장실,서울 금천구 시흥동 1010,0,0,:~:,37.44999004,126.9173108,0,0
벽산5단지 상가 개방화장실,서울 금천구 시흥동 1013,0,0,:~:,37.44980086,126.9199759,0,0
금천종합복지타운 1층 개방화장실,서울 금천구 시흥동 1013-7,0,0,:~:,37.45030347,126.9146038,0,0
희망대공원 화장실3,경기 성남시 수정구 신흥동 2182,0,0,:~:,37.44705759,127.1528662,0,0
희망대공원 화장실,경기 성남시 수정구 신흥동 2182,0,0,:~:,37.4479482,127.1497263,0,0
희망대공원 화장실2,경기 성남시 수정구 신흥동 2182,0,0,:~:,37.44640771,127.1509527,0,0
경원프라자 개방화장실,경기 성남시 수정구 태평동 5113-9,0,0,:~:,37.44883964,127.1271301,0,0
개방화장실 월드비전,경기 성남시 중원구 금광동 2957,0,0,:~:,37.44970315,127.1660806,0,0
우리주유소 화장실,경기 시흥시 계수동 531-1,0,0,:~:,37.44953126,126.8106842,0,0
명연에너지 시흥IC훼미리주유소 화장실,경기 시흥시 대야동 261-1,0,0,:~:,37.45314652,126.7957702,0,0
샘터주유소 화장실,경기 시흥시 계수동 174,0,0,:~:,37.45306222,126.8169049,0,0
플라자 카멜리아 개방화장실,서울 금천구 시흥동 831-6,0,0,:~:,37.45157012,126.9083604,0,0
금천마을예술창작소 어울샘 개방화장실,서울 금천구 시흥동 247-19,0,0,:~:,37.45180576,126.9116195,0,0
청담종합사회복지관 개방화장실,서울 금천구 시흥동 241-7,0,0,:~:,37.45123282,126.913919,0,0
금천노인종합복지관 개방화장실,서울 금천구 시흥동 558-1,0,0,:~:,37.45015047,126.8977897,0,0
홈플러스 개방화장실,서울 금천구 시흥동 992-47,0,0,:~:,37.45187667,126.9008015,0,0
호압사 개방화장실,서울 금천구 시흥동 234,0,0,:~:,37.45252453,126.9253402,0,0
단대공원 화장실,경기 성남시 수정구 단대동 193,0,0,:~:,37.45109874,127.1548589,0,0
동양주유소 화장실,경기 시흥시 과림동 94-1,0,0,:~:,37.45295711,126.8335686,0,0
서울추모공원 개방화장실,서울 서초구 원지동 63,0,0,:~:,37.45203039,127.0427929,0,0
은행근린공원 화장실,경기 성남시 중원구 은행동 199-1,0,0,:~:,37.4535906,127.1695476,0,0
명성주유소 화장실,경기 시흥시 대야동 143-2,0,0,:~:,37.45310979,126.7892197,0,0
은행나무공원 개방화장실,서울 금천구 시흥동 836,0,0,:~:,37.45210064,126.9069776,0,0
금빛공원 화장실,서울 금천구 시흥동 893-1,0,0,:~:,37.4529201,126.9041511,0,0
금천구청 3호 개방화장실,서울 금천구 시흥동 113-55,0,0,:~:,37.45561133,126.8945136,0,0
벽산2단지 상가 개방화장실,서울 금천구 시흥동 1010,0,0,:~:,37.45356593,126.9195876,0,0
송암약수터 개방화장실,서울 관악구 신림동 산 57-14,0,0,:~:,37.45553653,126.9281052,0,0
삼호약수터B 개방화장실,서울 관악구 신림동 산 57-14,0,0,:~:,37.45554283,126.928104,0,0
금천구청역 자전거보관소 4호 개방화장실,서울 금천구 시흥동 1020,0,0,:~:,37.45673289,126.8948003,0,0
금나래도서관 개방화장실,서울 금천구 시흥동 1020,0,0,:~:,37.45658216,126.8960268,0,0
금나래아트홀 개방화장실,서울 금천구 시흥동 1020,0,0,:~:,37.45653798,126.8959952,0,0
금빛공원 개방화장실,서울 금천구 시흥동 893-25,0,0,:~:,37.45245178,126.9043958,0,0
금천구청 1층 개방화장실,서울 금천구 시흥동 1020,0,0,:~:,37.45673245,126.8948014,0,0
제2광장 개방화장실,서울 관악구 신림동 산 56-2,0,0,:~:,37.4555991,126.9457491,0,0
단대공원 화장실3,경기 성남시 수정구 단대동 196,0,0,:~:,37.45458609,127.1586094,0,0
단대공원 화장실2,경기 성남시 수정구 산성동 510-2,0,0,:~:,37.45497645,127.1550432,0,0
SM에너지 SM주유소 화장실,경기 시흥시 계수동 91,0,0,:~:,37.45773645,126.8144522,0,0
금빛휘트니스센터 개방화장실,서울 금천구 시흥동 893-1,0,0,:~:,37.45263189,126.9042826,0,0
삼성공영주차장 개방화장실,서울 금천구 시흥동 171-1,0,0,:~:,37.45458903,126.9090225,0,0
서울대공학관 개방화장실,서울 관악구 신림동 산 56-1,0,0,:~:,37.45689519,126.9508614,0,0
제1광장 개방화장실,서울 관악구 신림동 산 50-18,0,0,:~:,37.45821254,126.9468549,0,0
한강에너지 퍼스트파크주유소 개방화장실,서울 서초구 내곡동 337-1,0,0,:~:,37.45745128,127.0601633,0,0
은행시장 개방화장실,경기 성남시 중원구 은행동 1553,0,0,:~:,37.45758383,127.164484,0,0
제2구민운동장 개방화장실,서울 관악구 신림동 산 58-8,0,0,:~:,37.45760038,126.9336449,0,0
신양교회 옆 개방화장실,서울 관악구 신림동 산 57-13,0,0,:~:,37.45826848,126.9267768,0,0
백운주유소 개방화장실,서울 금천구 독산동 1077-3,0,0,:~:,37.45887721,126.8993421,0,0
하우고개주유소 화장실,경기 시흥시 대야동 57-5,0,0,:~:,37.45835555,126.7862482,0,0
하나은행 개방화장실,서울 금천구 시흥동 803-17,0,0,:~:,37.45899027,126.9053234,0,0
만남의광장휴게소충전소 부산방향 개방화장실,서울 서초구 원지동 10-16,0,0,:~:,37.45964041,127.0426073,0,0
서울만남의광장휴게소 개방화장실,서울 서초구 원지동 10-16,0,0,:~:,37.46030744,127.0418109,0,0
구용화사 개방화장실,서울 관악구 신림동 산 29,0,0,:~:,37.46116234,126.942752,0,0
경로구역 B 개방화장실,서울 관악구 신림동 산 29,0,0,:~:,37.46116234,126.942752,0,0
옥길공원관리사무소 개방화장실,경기 부천시 옥길동 752-1,0,0,:~:,37.46100067,126.8256048,0,0
효봉공영주차장 개방화장실,서울 금천구 시흥동 3-129,0,0,:~:,37.4607426,126.9109365,0,0
2-4 삼성동 개방화장실,서울 관악구 신림동 산 60,0,0,:~:,37.46094331,126.9339606,0,0
세곡동공원 리엔파크 개방화장실,서울 강남구 세곡동 525-1,0,0,:~:,37.46022988,127.10349,0,0
삼미상사 시흥IC셀프주유소 화장실,경기 시흥시 계수동 380-16,0,0,:~:,37.46284541,126.8002245,0,0
그린주유소 화장실,경기 시흥시 계수동 377-10,0,0,:~:,37.4614901,126.8022536,0,0
1-16 삼성동 개방화장실,서울 관악구 신림동 산 78-9,0,0,:~:,37.45970936,126.928516,0,0
2-5 삼성동 개방화장실,서울 관악구 신림동 산 79-4,0,0,:~:,37.4603043,126.928963,0,0
2-6 삼성동 개방화장실,서울 관악구 신림동 산 74-4,0,0,:~:,37.46108009,126.9304995,0,0
1-15삼성동 개방화장실,서울 관악구 신림동 316-137,0,0,:~:,37.46198195,126.9319726,0,0
보덕사 개방화장실,서울 관악구 신림동 산 63-5,0,0,:~:,37.46249684,126.937608,0,0
경로구역 A 개방화장실,서울 관악구 신림동 산 29,0,0,:~:,37.46289353,126.9453844,0,0
경로구역 개방화장실,서울 관악구 신림동 산 31-1,0,0,:~:,37.46289631,126.9475535,0,0
남태령쉼터 정각사 입구 개방화장실,서울 서초구 방배동 2939,0,0,:~:,37.46177032,126.9885702,0,0
여의천 무인화장실,서울 서초구 원지동 15-18,0,0,:~:,37.46153879,127.0427633,0,0
농협 독산동지점 개방화장실,서울 금천구 독산동 1054-28,0,0,:~:,37.46360802,126.8978301,0,0
새한벤처월드 개방화장실,서울 금천구 시흥동 113-15,0,0,:~:,37.45857346,126.898167,0,0
경복에너지주유소 개방화장실,서울 금천구 시흥동 860-36,0,0,:~:,37.46043131,126.9046072,0,0
대신석유 대우주유소 개방화장실,서울 서초구 양재동 216,0,0,:~:,37.46273166,127.037665,0,0
독산근린공원 화장실,서울 금천구 독산동 1086,0,0,:~:,37.46323581,126.8849809,0,0
샘말공원 개방화장실,서울 관악구 신림동 산 63-1,0,0,:~:,37.46432451,126.9384,0,0
세곡동 개방화장실,서울 강남구 세곡동 96-5,0,0,:~:,37.46524434,127.1100983,0,0
반고개경로당 개방화장실,서울 강남구 세곡동 128-13,0,0,:~:,37.46410113,127.1069768,0,0
금천교 5호 개방화장실,서울 금천구 가산동 687,0,0,:~:,37.46521106,126.8870962,0,0
독산1동공영주차장 개방화장실,서울 금천구 독산동 1006-94,0,0,:~:,37.46493886,126.8948035,0,0
고려테크온 개방화장실,서울 금천구 가산동 715,0,0,:~:,37.46579433,126.8883772,0,0
2-1 삼성동 개방화장실,서울 관악구 신림동 808-506,0,0,:~:,37.46502632,126.9301703,0,0
49초소 천지약수터 개방화장실,서울 관악구 봉천동 산 4-9,0,0,:~:,37.46460569,126.965013,0,0
우면프라자 개방화장실,서울 서초구 우면동 721-1,0,0,:~:,37.46453602,127.0255643,0,0
서울타일공사 시공 타일수리 위례 타일보수 화장실베란다욕,경기 성남시 수정구 창곡동 560-1,0,0,:~:,37.46450588,127.1411222,0,0
백산지구대 개방화장실,서울 금천구 시흥동 3-83,0,0,:~:,37.46231337,126.9101615,0,0
신흥주차장 개방화장실,서울 금천구 시흥동 704-56,0,0,:~:,37.45921972,126.9083658,0,0
시흥4동청소년독서실 개방화장실,서울 금천구 시흥동 812-41,0,0,:~:,37.45917687,126.9065642,0,0
새마을금고 개방화장실,서울 금천구 시흥동 802-34,0,0,:~:,37.45992362,126.9052046,0,0
남부여성발전센터 개방화장실,서울 금천구 시흥동 산 139-2,0,0,:~:,37.463146,126.9056572,0,0
2-3 삼성동 개방화장실,서울 관악구 신림동 304-13,0,0,:~:,37.46583743,126.9305109,0,0
2-2 삼성동 개방화장실,서울 관악구 신림동 304-18,0,0,:~:,37.4653149,126.9305996,0,0
난향동주민센터 개방화장실,서울 관악구 신림동 1735-5,0,0,:~:,37.46152308,126.9187257,0,0
안골약수터뒤 개방화장실,서울 관악구 신림동 808-124,0,0,:~:,37.46697523,126.9476433,0,0
양재최고주유소 개방화장실,서울 서초구 양재동 203,0,0,:~:,37.46706913,127.0347259,0,0
헌인릉 화장실,서울 서초구 내곡동 1-3079,0,0,:~:,37.46518072,127.0819565,0,0
관악문화관도서관 개방화장실,서울 관악구 신림동 209-1,0,0,:~:,37.46717035,126.9447697,0,0
대농석유 남태령주유소 개방화장실,서울 서초구 방배동 2833,0,0,:~:,37.46679701,126.9879907,0,0
상록수약수터 옆 개방화장실,서울 관악구 남현동 산 64,0,0,:~:,37.46762546,126.9782871,0,0
상록약수터가는길 개방화장실,서울 관악구 남현동 산 64,0,0,:~:,37.46761374,126.9782837,0,0
난우공원 개방화장실,서울 관악구 신림동 652-160,0,0,:~:,37.46643032,126.92189,0,0
현대주유소 개방화장실,서울 관악구 신림동 666-14,0,0,:~:,37.46498361,126.919676,0,0
난곡공원 개방화장실,서울 관악구 신림동 산 105-12,0,0,:~:,37.46608831,126.9171473,0,0
벧엘감리교회 개방화장실,서울 금천구 독산동 1022-83,0,0,:~:,37.46707865,126.9020124,0,0
독산배드민턴체육관 개방화장실,서울 금천구 독산동 938-5,0,0,:~:,37.46776496,126.9072657,0,0
독산주유소 개방화장실,서울 금천구 독산동 1043-51,0,0,:~:,37.46314475,126.9034812,0,0
산기슭공원 개방화장실,서울 금천구 시흥동 산 138-3,0,0,:~:,37.46366289,126.9075691,0,0
남부여성주차장 개방화장실,서울 금천구 시흥동 산 139-2,0,0,:~:,37.46318023,126.9056482,0,0
광장 개방화장실,서울 관악구 신림동 210,0,0,:~:,37.46821496,126.9455162,0,0
군인아파트2동뒤 개방화장실,서울 관악구 봉천동 산 3-6,0,0,:~:,37.46864376,126.9706938,0,0
관음사밑 개방화장실,서울 관악구 남현동 산 58,0,0,:~:,37.4679404,126.9761799,0,0
둘레길 개방화장실,서울 관악구 남현동 산 65,0,0,:~:,37.46849481,126.9776188,0,0
문화예술공원 개방화장실,서울 서초구 양재동 200,0,0,:~:,37.4668884,127.0300821,0,0
태봉셀프주유소 개방화장실,서울 서초구 우면동 13-6,0,0,:~:,37.46825121,127.0281293,0,0
양재천 무인화장실,서울 서초구 우면동 143-6,0,0,:~:,37.46826188,127.0287126,0,0
KAL위령탑 옆 개방화장실,서울 서초구 양재동 234,0,0,:~:,37.46762047,127.0378924,0,0
매헌시민의숲 화장실,서울 서초구 양재동 200,0,0,:~:,37.46890257,127.0319278,0,0
세곡동주민센터 개방화장실,서울 강남구 율현동 278-1,0,0,:~:,37.46904955,127.1068979,0,0
위례근린공원 화장실,경기 성남시 수정구 창곡동 578,0,0,:~:,37.4675173,127.1532266,0,0
대륭테크노타운 6호 개방화장실,서울 금천구 가산동 569-21,0,0,:~:,37.46846155,126.884628,0,0
금천체육공원1 개방화장실,서울 금천구 독산동 374,0,0,:~:,37.46762849,126.9090474,0,0
금천체육공원 개방화장실,서울 금천구 독산동 374,0,0,:~:,37.46762849,126.9090519,0,0
1-11 삼성동 개방화장실,서울 관악구 신림동 808-499,0,0,:~:,37.46790898,126.9307261,0,0
남현베드민턴장옆 개방화장실,서울 관악구 남현동 산 57-4,0,0,:~:,37.46966528,126.9779248,0,0
위례주제공원 화장실,경기 성남시 수정구 창곡동 527,0,0,:~:,37.4694617,127.1475445,0,0
용못내공원 개방화장실,경기 부천시 옥길동 735,0,0,:~:,37.46984718,126.8246459,0,0
남서울경복에너지주유소 개방화장실,서울 금천구 독산동 195-2,0,0,:~:,37.46983244,126.9023751,0,0
호암노인종합복지관 개방화장실,서울 금천구 독산동 917,0,0,:~:,37.46949694,126.9064225,0,0
낙성대숲속공원 화장실,서울 관악구 봉천동 산 35-2,0,0,:~:,37.46863763,126.9618369,0,0
대학동 주민센터 개방화장실,서울 관악구 신림동 1516,0,0,:~:,37.47058756,126.9369388,0,0
1-6 삼성동 개방화장실,서울 관악구 신림동 808-501,0,0,:~:,37.46947641,126.9317036,0,0
매점 뒤 개방화장실,서울 서초구 양재동 236,0,0,:~:,37.47014125,127.0358035,0,0
