name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count
신답역,서울특별시 성동구 용답동 129-2 신답역(2호선),1,1,:~:,37.57069554,127.0454381,1,0
신설동역,서울특별시 동대문구 신설동 76-5 신설동역(2호선),1,1,:~:,37.5764587,127.0259607,1,0
도림천역,서울특별시 구로구 신도림동 323-16 도림천역(2호선),1,1,:~:,37.51428383,126.8829717,1,0
양천구청역,서울특별시 양천구 신정동 276-7 양천구청역(2호선),1,1,:~:,37.51099993,126.8652069,1,0
신정네거리역,서울특별시 양천구 신정동 1231 신정네거리역(2호선),1,1,:~:,37.51833068,126.8536292,1,0
용두(동대문구청)역,서울특별시 동대문구 용두동 47-1 용두역(2호선),1,1,:~:,37.57394181,127.0386537,1,0
지축역,경기도 고양시 덕양구 지축동 818-64 지축역(3호선),1,1,:~:,37.64884628,126.9108341,1,0
구파발역,서울특별시 은평구 진관동 67-26 구파발역(3호선),1,1,:~:,37.63684179,126.9187454,1,0
연신내역,서울특별시 은평구 갈현동 397 연신내역(3호선),1,1,:~:,37.6189326,126.920853,1,0
불광역,서울특별시 은평구 대조동 13-10 불광역(3호선),1,1,:~:,37.61034542,126.9299073,1,0
녹번역,서울특별시 은평구 녹번동 55 녹번역(3호선),1,1,:~:,37.60074218,126.9360194,1,0
홍제역,서울특별시 서대문구 홍제동 161-1 홍제역(3호선),1,1,:~:,37.58731665,126.9458427,1,0
무악재역,서울특별시 서대문구 홍제동 26-1 무악재역(3호선),1,1,:~:,37.58231879,126.9506696,1,0
독립문역,서울특별시 서대문구 현저동 101 독립문역(3호선),1,1,:~:,37.57448172,126.9560391,1,0
경복궁(정부서울청사)역,서울특별시 종로구 적선동 81-1 경복궁역(3호선),1,1,:~:,37.57576114,126.9732065,1,0
안국역,서울특별시 종로구 안국동 73-1 안국역(3호선),1,1,:~:,37.57702256,126.9850896,1,0
종로3가역,서울특별시 종로구 묘동 20-5 종로3가역(3호선),1,1,:~:,37.57145067,126.9919017,1,0
을지로3가역,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),1,1,:~:,37.56640241,126.9936823,1,0
충무로역,서울특별시 중구 필동2가 16-2 충무로역(3호선),1,1,:~:,37.56120982,126.9943296,1,0
동대입구역,서울특별시 중구 장충동2가 199-3 동대입구역(3호선),1,1,:~:,37.55921323,127.0051125,1,0
약수역,서울특별시 중구 신당동 369-44 약수역(3호선),1,1,:~:,37.55444854,127.0109909,1,0
금호역,서울특별시 성동구 금호동4가 1470 금호역(3호선),1,1,:~:,37.54811252,127.0158938,1,0
옥수역,서울특별시 성동구 옥수동 168-1 옥수역(3호선),1,1,:~:,37.53992009,127.017224,1,0
압구정역,서울특별시 강남구 신사동 668 압구정역(3호선),1,1,:~:,37.52356009,127.0283075,1,0
신사역,서울특별시 강남구 신사동 667 신사역(3호선),1,1,:~:,37.51967228,127.0187516,1,0
잠원역,서울특별시 서초구 잠원동 100-1 잠원역(3호선),1,1,:~:,37.51160964,127.0087323,1,0
고속터미널역,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),1,1,:~:,37.50484971,127.0048754,1,0
"교대(법원, 검찰청)역",서울특별시 서초구 서초동 1748-4 교대역(3호선),1,1,:~:,37.49486936,127.0173209,1,0
남부터미널(예술의전당)역,서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),1,1,:~:,37.48659451,127.0152969,1,0
양재(서초구청)역,서울특별시 서초구 서초동 1366-9 양재역(3호선),1,1,:~:,37.48478641,127.0321567,1,0
매봉역,서울특별시 강남구 도곡동 179-2 매봉역(3호선),1,1,:~:,37.48699381,127.0466804,1,0
도곡역,서울특별시 강남구 도곡동 339-2 도곡역(3호선),1,1,:~:,37.48978826,127.05293,1,0
대치역,서울특별시 강남구 대치동 317-3 대치역(3호선),1,1,:~:,37.49452717,127.0632587,1,0
학여울역,서울특별시 강남구 대치동 514-3 학여울역(3호선),1,1,:~:,37.49578901,127.0717953,1,0
대청역,서울특별시 강남구 일원동 700-9 대청역(3호선),1,1,:~:,37.49090864,127.0730797,1,0
일원역,서울특별시 강남구 일원동 717 일원역(3호선),1,1,:~:,37.48400186,127.0844517,1,0
수서역,서울특별시 강남구 수서동 728 수서역(3호선),1,1,:~:,37.48825776,127.1005796,1,0
가락시장역,서울특별시 송파구 가락동 184-23 가락시장역(3호선),1,1,:~:,37.49291477,127.1182153,1,0
경찰병원역,서울특별시 송파구 가락동 10-15 경찰병원역(3호선),1,1,:~:,37.5012882,127.1270533,1,0
오금역,서울특별시 송파구 오금동 44-2 오금역(3호선),1,1,:~:,37.5048365,127.1257406,1,0
당고개역,서울특별시 노원구 상계동 111 당고개역(4호선),1,1,:~:,37.67029264,127.0790112,1,0
상계역,서울특별시 노원구 상계동 156-203 상계역(4호선),1,1,:~:,37.66105774,127.0736302,1,0
노원역,서울특별시 노원구 상계동 602-5 노원역(4호선),1,1,:~:,37.65611513,127.0623965,1,0
창동역,서울특별시 도봉구 창동 135-1 창동역(4호선),1,1,:~:,37.65337886,127.0476817,1,0
쌍문역,서울특별시 도봉구 창동 703-4 쌍문역(4호선),1,1,:~:,37.6530403,127.0379226,1,0
수유(강북구청)역,서울특별시 강북구 수유동 140 수유역(4호선),1,1,:~:,37.63982195,127.0272225,1,0
미아(서울사이버대학)역,서울특별시 강북구 미아동 194-1 미아역(4호선),1,1,:~:,37.62974783,127.0252724,1,0
미아사거리 역,서울특별시 강북구 미아동 66-1 미아사거리역(4호선),1,1,:~:,37.61499305,127.0300332,1,0
길음역,서울특별시 성북구 길음동 877-66 길음역(4호선),1,1,:~:,37.60318391,127.0248232,1,0
성신여대입구(돈암)역,서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),1,1,:~:,37.59309945,127.0167811,1,0
한성대입구(삼선교)역,서울특별시 성북구 삼선동1가 14 한성대입구역(4호선),1,1,:~:,37.58807477,127.0058101,1,0
혜화역,서울특별시 종로구 명륜4가 96-5 혜화역(4호선),1,1,:~:,37.58213258,127.0018147,1,0
동대문역,서울특별시 종로구 종로6가 287-1 동대문역(4호선),1,1,:~:,37.57062751,127.0094407,1,0
동대문역사문화공원(DDP)역,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),1,1,:~:,37.56469244,127.0073148,1,0
충무로역,서울특별시 중구 필동2가 16-2 충무로역(4호선),1,1,:~:,37.56120982,126.9943296,1,0
명동역,서울특별시 중구 충무로2가 109-2 명동역(4호선),1,1,:~:,37.56084076,126.9857355,1,0
회현(남대문시장)역,서울특별시 중구 남창동 64-1 회현역(4호선),1,1,:~:,37.55768773,126.9767195,1,0
서울역,서울특별시 용산구 동자동 14-151 서울역 (4호선),1,1,:~:,37.55311361,126.9728013,1,0
숙대입구(갈월)역,서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),1,1,:~:,37.54582602,126.9722205,1,0
삼각지역,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),1,1,:~:,37.53465304,126.9732217,1,0
신용산역,서울특별시 용산구 한강로2가 181 신용산역(4호선),1,1,:~:,37.52961556,126.9682159,1,0
이촌(국립중앙박물관)역,서울특별시 용산구 용산동5가 17-112 이촌역(4호선),1,1,:~:,37.5219664,126.9752985,1,0
동작(현충원)역,서울특별시 동작구 동작동 327-1 동작역(4호선),1,1,:~:,37.50286104,126.9799855,1,0
총신대입구(이수)역,서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),1,1,:~:,37.48807156,126.982279,1,0
사당역,서울특별시 동작구 사당동 588-44 사당역(4호선),1,1,:~:,37.47691048,126.9816333,1,0
남태령역,서울특별시 서초구 방배동 2909 남태령역(4호선),1,1,:~:,37.46437828,126.989278,1,0
방화역,서울특별시 강서구 방화동 829-15 방화역(5호선),1,1,:~:,37.57725941,126.8126685,1,0
개화산역,서울특별시 강서구 방화동 846 개화산역(5호선),1,1,:~:,37.57231512,126.8057584,1,0
김포공항역,서울특별시 강서구 방화동 886 김포공항역(5호선),1,1,:~:,37.56505961,126.8029918,1,0
송정역,서울특별시 강서구 공항동 29-5 송정역(5호선),1,1,:~:,37.56147928,126.8105059,1,0
마곡역,서울특별시 강서구 마곡동 769-3 마곡역(5호선),1,1,:~:,37.56029954,126.8248155,1,0
발산역,서울특별시 강서구 마곡동 727-1496 발산역(5호선),1,1,:~:,37.55902927,126.8373108,1,0
우장산역,서울특별시 강서구 화곡동 1089-3 우장산역(5호선),1,1,:~:,37.54922518,126.836414,1,0
화곡역,서울특별시 강서구 화곡동 1089-54 화곡역(5호선),1,1,:~:,37.54123382,126.8407958,1,0
까치산역,서울특별시 강서구 화곡동 662-5 까치산역(5호선),1,1,:~:,37.53254002,126.8462607,1,0
신정(은행정)역,서울특별시 양천구 신정동 1090 신정역(5호선),1,1,:~:,37.52468791,126.8537281,1,0
목동역,서울특별시 양천구 목동 926-3 목동역(5호선),1,1,:~:,37.52673819,126.8657623,1,0
오목교(목동운동장앞)역,서울특별시 양천구 목동 406-30 오목교역(5호선),1,1,:~:,37.52467867,126.8740098,1,0
